s, e
-12.9,	-8.5
-12.87,	-8
-12.87,	-7.5
-12.73,	-7
-10.8,	-6
-7.22,	-4
-5.46,	-3
-3.64,	-2
-1.8,	-1
-0.897,	-0.5
0.826,	0.5
1.825,	1
3.64,	2
5.4,	3
7.17,	4
10.8,	6
12.6,	7
12.78,	7.5
12.74,	8
12.78,	8.5
