f, s, e, arg
0.7, 1.78, 1, -5.6
1.33, 1.77, 1, -10.7
2, 1.73, 1, -15.2
2.66, 1.7, 1, -20.2
3.2, 1.65, 1, -23.9
4, 1.57, 1, -29.1
4.6, 1.52, 1, -32.1
5.2, 1.46, 1, -35.6
5.8, 1.41, 1, -38.6
6.4, 1.35, 1, -41.4
6.7, 1.32, 1, -42.7
7, 1.306, 1, -44.5
7.1, 1.297, 1, -44.7
7.2, 1.285, 1, -45
7.3, 1.28, 1, -45.4
7.4, 1.269, 1, -45.8
8, 1.21, 1, -48.5
9, 1.141, 1, -52.1
10, 1.063, 1, -54.9
15, 0.794, 1, -66
20, 0.625, 1, -72.7
30, 0.456, 1, -81
50, 0.261, 1, -94.1
70, 0.18, 1, -94.7
